frame,elapsed_seconds,interval_ms,cpu_active_ms,fence_ms,acquire_ms,present_ms,gpu_frame_ms,gpu_shadow_ms,submitted,width,height,action,character_deformation_ms,character_upload_ms
0,0.000000,38.053700,38.053700,0.000000,0.000000,0.000000,,,0,1920,1080,"characters-4",0.000000,0.000000
1,0.038056,122.708900,74.973200,0.023000,0.163200,47.547400,16.680700,7.763830,1,1920,1080,"characters-4",67.414200,0.800900
2,0.160765,71.675200,71.305900,0.028400,0.176400,0.162600,16.080040,7.273920,1,1920,1080,"characters-4",63.686500,0.897800
3,0.232440,70.746800,70.148600,0.163300,0.279400,0.153700,16.078080,6.860160,1,1920,1080,"characters-4",65.555200,0.774200
4,0.303186,71.932000,71.532100,0.145200,0.130000,0.123400,15.640880,6.880960,1,1920,1080,"characters-4",67.006300,0.777300
5,0.375118,67.149900,66.618600,0.155800,0.170700,0.203400,16.259920,6.664800,1,1920,1080,"characters-4",62.026900,0.792900
6,0.442268,69.407300,68.965300,0.138500,0.159900,0.142400,16.816770,7.711730,1,1920,1080,"characters-4",63.938900,0.908000
7,0.511675,71.050600,70.599500,0.150700,0.161000,0.137700,15.195920,6.499080,1,1920,1080,"characters-4",65.926800,0.802000
8,0.582726,68.921600,68.463700,0.158900,0.174200,0.123400,15.113720,6.486560,1,1920,1080,"characters-4",63.867300,0.748900
9,0.651647,68.429300,68.030900,0.140400,0.131400,0.125200,15.137480,6.370480,1,1920,1080,"characters-4",63.533800,0.769200
10,0.720077,68.907100,68.515100,0.126600,0.135800,0.128200,15.116720,6.508080,1,1920,1080,"characters-4",64.044100,0.706000
11,0.788984,68.581400,68.187600,0.156500,0.139700,0.095900,15.417280,6.619400,1,1920,1080,"characters-4",63.761700,0.714600
12,0.857565,67.837900,67.265500,0.332900,0.143300,0.094500,15.231160,6.604080,1,1920,1080,"characters-4",62.844900,0.721700
13,0.925403,70.314400,69.229200,0.322500,0.393000,0.368300,14.902240,6.314840,1,1920,1080,"characters-4",64.601700,0.839500
14,0.995718,69.977800,69.500600,0.161400,0.184100,0.130200,15.080280,6.455680,1,1920,1080,"characters-4",64.650600,0.718700
15,1.065695,70.386900,69.973100,0.114000,0.145500,0.153000,15.280440,6.688720,1,1920,1080,"characters-4",65.169200,0.722400
16,1.136082,68.879300,68.355400,0.283900,0.140400,0.098000,15.056680,6.341920,1,1920,1080,"characters-4",63.813600,0.746300
17,1.204961,67.275300,66.889100,0.155400,0.139600,0.089900,15.525560,6.644680,1,1920,1080,"characters-4",62.433200,0.713500
18,1.272237,70.104000,69.661300,0.183600,0.138300,0.119600,15.571920,6.928850,1,1920,1080,"characters-4",65.094400,0.749800
19,1.342341,69.203800,68.826600,0.144500,0.139300,0.092200,15.223210,6.650980,1,1920,1080,"characters-4",64.403600,0.738600
20,1.411544,118.568600,118.567500,0.000000,0.000000,0.000000,,,0,1920,1080,"characters-4",0.000000,0.000000
21,1.530116,114.026300,68.293600,0.022200,0.139300,45.567400,15.076720,6.528680,1,1920,1080,"characters-4",63.229600,0.736200
22,1.644140,67.506000,67.227500,0.022800,0.130200,0.124100,15.500720,6.786880,1,1920,1080,"characters-4",62.718800,0.761000
23,1.711645,68.269800,67.858400,0.168200,0.133000,0.108900,15.694640,6.929880,1,1920,1080,"characters-4",63.416500,0.734700
24,1.779915,68.280200,67.838800,0.178700,0.144200,0.116900,14.779120,6.217880,1,1920,1080,"characters-4",63.372400,0.714000
25,1.848196,67.727100,67.323600,0.141300,0.118600,0.142000,15.403470,6.771480,1,1920,1080,"characters-4",62.839500,0.759200
26,1.915923,67.591900,67.134600,0.192500,0.139900,0.123500,15.214800,6.671200,1,1920,1080,"characters-4",62.605500,0.785200
27,1.983515,68.854700,68.442700,0.144800,0.134200,0.131500,15.089920,6.488360,1,1920,1080,"characters-4",63.974800,0.752200
28,2.052369,70.125700,69.637100,0.165200,0.229500,0.092500,15.085280,6.426840,1,1920,1080,"characters-4",64.974600,0.780300
29,2.122495,69.072000,68.161600,0.140100,0.133200,0.635400,15.815920,7.140560,1,1920,1080,"characters-4",63.709900,0.753600
30,2.191568,143.425100,143.045800,0.116400,0.130700,0.129200,15.804560,6.508800,1,1920,1080,"characters-4",64.539300,0.775900
31,2.334993,70.699500,70.442800,0.026200,0.136700,0.091100,15.956880,6.775160,1,1920,1080,"characters-4",65.991900,0.708900
32,2.405691,71.312400,71.028600,0.029300,0.139500,0.113800,15.102120,6.496880,1,1920,1080,"characters-4",66.377600,0.920100
33,2.477004,70.951000,70.531100,0.171000,0.139700,0.107800,15.576800,6.756880,1,1920,1080,"characters-4",66.003100,0.718400
34,2.547955,69.949600,69.168500,0.137700,0.509300,0.132800,14.723700,6.162350,1,1920,1080,"characters-4",64.629800,0.771400
35,2.617904,68.948200,68.253400,0.434300,0.137000,0.122100,15.630840,6.664720,1,1920,1080,"characters-4",63.717700,0.757600
36,2.686853,69.523000,68.744500,0.150500,0.139300,0.487000,14.615520,6.067600,1,1920,1080,"characters-4",64.236100,0.728100
37,2.756378,70.518000,70.112500,0.125800,0.188100,0.088400,15.210800,6.513560,1,1920,1080,"characters-4",64.664900,0.725000
38,2.826894,68.557200,68.131400,0.178800,0.145000,0.100400,15.723760,7.102840,1,1920,1080,"characters-4",63.662100,0.735400
39,2.895451,70.909000,70.509000,0.141600,0.129900,0.127200,14.824800,6.245640,1,1920,1080,"characters-4",66.021200,0.748800
