frame,elapsed_seconds,interval_ms,cpu_active_ms,fence_ms,acquire_ms,present_ms,gpu_frame_ms,gpu_shadow_ms,submitted,width,height,action,character_deformation_ms,character_upload_ms
0,0.000000,30.837300,30.837300,0.000000,0.000000,0.000000,,,0,1920,1080,"characters-4",0.000000,0.000000
1,0.030838,56.497600,4.651200,0.009200,0.111900,51.724700,14.846120,6.220160,1,1920,1080,"characters-4",1.641600,0.828300
2,0.087336,22.847200,5.441200,0.007900,15.551300,1.846000,16.598440,7.802480,1,1920,1080,"characters-4",1.737200,0.851000
3,0.110183,31.059000,5.440400,0.026900,25.527900,0.062800,16.155080,7.396840,1,1920,1080,"characters-4",2.556500,2.119000
4,0.141242,33.163300,4.420400,0.017700,28.487100,0.237600,16.372960,7.599280,1,1920,1080,"characters-4",2.056000,1.821700
5,0.174405,33.120100,4.593300,0.024400,28.409700,0.092300,17.120880,8.180720,1,1920,1080,"characters-4",2.082200,1.827900
6,0.207525,33.843500,5.517200,0.024000,28.226200,0.075600,17.322480,8.603840,1,1920,1080,"characters-4",2.505100,2.216000
7,0.241369,33.340600,6.306700,0.024700,26.943600,0.065100,16.057520,7.399840,1,1920,1080,"characters-4",3.072900,2.634600
8,0.274709,33.115100,4.764400,0.024700,28.256200,0.069400,16.163600,7.537360,1,1920,1080,"characters-4",2.164300,2.055400
9,0.307824,34.021500,4.796200,0.036200,28.915200,0.273500,16.352080,7.662320,1,1920,1080,"characters-4",2.356500,1.720900
10,0.341846,32.343700,5.050900,0.022100,27.192300,0.077100,15.804160,7.180600,1,1920,1080,"characters-4",2.529000,1.976000
11,0.374190,33.311100,4.242000,0.018400,28.956700,0.093300,15.721760,7.097840,1,1920,1080,"characters-4",2.011400,1.781800
12,0.407500,33.545500,4.550100,0.024100,28.907200,0.063700,15.685480,7.072040,1,1920,1080,"characters-4",2.383300,1.679900
13,0.441046,33.895800,4.305600,0.021500,29.504600,0.063600,15.729640,7.043400,1,1920,1080,"characters-4",2.018800,1.680100
14,0.474942,32.631900,4.146000,0.016500,28.391000,0.078000,17.171040,8.462480,1,1920,1080,"characters-4",1.987900,1.686000
15,0.507574,33.519300,5.633100,0.024900,27.779100,0.081600,15.697400,7.075200,1,1920,1080,"characters-4",2.382700,2.506000
16,0.541093,33.438200,4.415400,0.021400,28.936400,0.064600,16.045160,7.442880,1,1920,1080,"characters-4",2.084700,1.817600
17,0.574531,33.171000,4.652300,0.018000,28.436400,0.063900,16.078880,7.448400,1,1920,1080,"characters-4",2.217000,2.001600
18,0.607702,33.298600,4.904500,0.022600,28.249000,0.122100,15.715040,7.083560,1,1920,1080,"characters-4",2.014200,2.209200
19,0.641001,33.509100,4.255200,0.023400,29.167000,0.063000,14.817280,6.192160,1,1920,1080,"characters-4",2.011400,1.705700
20,0.674510,97.957100,97.956700,0.000000,0.000000,0.000000,,,0,1920,1080,"characters-4",0.000000,0.000000
21,0.772467,82.480100,3.194700,0.011300,14.752200,64.521500,15.704640,6.962040,1,1920,1080,"characters-4",1.675300,0.839000
22,0.854947,18.866600,3.436200,0.009200,15.314700,0.105800,16.833360,7.810240,1,1920,1080,"characters-4",1.765300,1.005900
23,0.873814,33.495100,5.300700,0.029600,28.054600,0.109800,16.007920,7.350280,1,1920,1080,"characters-4",2.755600,2.028800
24,0.907309,33.540600,4.521200,0.019900,28.883400,0.115500,16.096120,7.425080,1,1920,1080,"characters-4",2.104400,1.810800
25,0.940850,33.369400,4.338600,0.018700,28.910300,0.101200,17.237360,8.181360,1,1920,1080,"characters-4",2.095400,1.758900
26,0.974219,33.629600,4.862300,0.022100,28.651300,0.093300,16.437800,7.693520,1,1920,1080,"characters-4",2.242200,1.753700
27,1.007848,33.948800,5.107700,0.021200,28.407000,0.412300,16.024400,7.365960,1,1920,1080,"characters-4",2.063000,2.162700
28,1.041798,32.538400,4.528300,0.020900,27.892500,0.095600,16.576240,7.908240,1,1920,1080,"characters-4",2.138300,1.853400
29,1.074336,33.319600,5.267100,0.023400,27.881600,0.147100,16.065080,7.409840,1,1920,1080,"characters-4",2.562100,1.980200
30,1.107655,90.843500,62.306500,0.020500,28.401300,0.114800,15.630400,6.387960,1,1920,1080,"characters-4",2.166000,1.849000
31,1.198499,3.056600,2.841100,0.024400,0.121200,0.069500,15.964040,7.367880,1,1920,1080,"characters-4",1.588600,0.741200
32,1.201555,22.935200,4.214000,0.024400,18.613800,0.082700,15.833440,7.237640,1,1920,1080,"characters-4",1.955200,1.580400
33,1.224491,33.207200,4.409000,0.019600,28.654900,0.123000,16.069440,7.416720,1,1920,1080,"characters-4",2.149900,1.677100
34,1.257698,34.179200,5.116900,0.028000,28.584400,0.449500,16.117880,7.468760,1,1920,1080,"characters-4",2.182700,1.893100
35,1.291877,32.509800,4.781000,0.023400,27.585700,0.118700,15.791680,7.175480,1,1920,1080,"characters-4",2.266900,1.859400
36,1.324387,33.226600,4.786400,0.022000,28.287200,0.130300,15.820440,7.106400,1,1920,1080,"characters-4",2.373300,1.659700
37,1.357614,33.281100,4.339200,0.020000,28.820400,0.100800,15.801880,7.193160,1,1920,1080,"characters-4",2.095100,1.705700
38,1.390894,33.709800,4.652800,0.021700,28.956500,0.078300,15.838200,7.154360,1,1920,1080,"characters-4",2.087200,1.689300
39,1.424604,33.313300,4.545000,0.023100,28.644000,0.100800,15.042040,6.411560,1,1920,1080,"characters-4",1.980000,1.763300
