frame,elapsed_seconds,interval_ms,cpu_active_ms,fence_ms,acquire_ms,present_ms,gpu_frame_ms,gpu_shadow_ms,submitted,width,height,action,character_deformation_ms,character_upload_ms
0,0.000000,32.418600,32.418600,0.000000,0.000000,0.000000,,,0,1920,1080,"characters-4",0.000000,0.000000
1,0.032420,87.042600,44.138000,0.019900,0.145900,42.737300,12.300290,3.571570,1,1920,1080,"characters-4",36.580800,0.146600
2,0.119463,42.835300,42.497800,0.021600,0.126800,0.187500,12.347680,3.513640,1,1920,1080,"characters-4",36.359900,0.143300
3,0.162298,40.881600,40.470800,0.149800,0.155800,0.103700,12.722160,3.608640,1,1920,1080,"characters-4",36.410300,0.137000
4,0.203180,40.657700,40.251100,0.125900,0.121500,0.157400,13.012720,4.010800,1,1920,1080,"characters-4",36.272600,0.149000
5,0.243838,40.596400,40.271600,0.128200,0.100800,0.094100,12.266000,3.399280,1,1920,1080,"characters-4",36.403800,0.128200
6,0.284433,40.683600,40.330700,0.144200,0.106000,0.101600,12.435720,3.645480,1,1920,1080,"characters-4",36.438600,0.136800
7,0.325117,40.631400,40.261300,0.124400,0.118900,0.125400,12.426080,3.290320,1,1920,1080,"characters-4",36.343900,0.152800
8,0.365748,40.862000,40.346800,0.220100,0.161900,0.131900,12.230560,3.482920,1,1920,1080,"characters-4",36.119600,0.134300
9,0.406610,40.948100,40.578900,0.114100,0.145800,0.108000,12.410800,3.575720,1,1920,1080,"characters-4",36.376300,0.149500
10,0.447559,41.284800,40.597700,0.198300,0.150600,0.336600,12.416360,3.613000,1,1920,1080,"characters-4",36.396900,0.140900
11,0.488844,42.100100,41.645400,0.146900,0.159300,0.146800,11.737800,3.038920,1,1920,1080,"characters-4",36.373600,0.154400
12,0.530944,41.709200,41.328700,0.110000,0.155300,0.113500,12.674640,3.720440,1,1920,1080,"characters-4",36.842100,0.144400
13,0.572653,41.121300,40.764500,0.108300,0.153300,0.094100,12.085480,3.313800,1,1920,1080,"characters-4",36.484600,0.152900
14,0.613774,41.621800,40.966600,0.123900,0.151200,0.378800,12.762840,3.588200,1,1920,1080,"characters-4",36.323900,0.138200
15,0.655396,42.701200,42.205100,0.188100,0.210700,0.095500,12.402440,3.499440,1,1920,1080,"characters-4",37.104100,0.180700
16,0.698097,41.286100,40.864500,0.146300,0.161600,0.112000,11.878400,3.113800,1,1920,1080,"characters-4",36.854100,0.148400
17,0.739383,41.004300,40.610400,0.134800,0.155200,0.102800,12.107160,3.391480,1,1920,1080,"characters-4",36.529500,0.133200
18,0.780387,41.596500,41.216900,0.111100,0.151900,0.115400,12.664400,3.752600,1,1920,1080,"characters-4",36.655000,0.141200
19,0.821984,42.152700,41.377500,0.119800,0.502900,0.151000,11.730960,3.038080,1,1920,1080,"characters-4",36.390500,0.165900
20,0.864137,88.601600,88.599500,0.000000,0.000000,0.000000,,,0,1920,1080,"characters-4",0.000000,0.000000
21,0.952739,82.214700,40.203900,0.020000,0.131100,41.857700,12.085240,3.315600,1,1920,1080,"characters-4",36.193900,0.141000
22,1.034953,40.635700,40.356300,0.024500,0.118300,0.135200,12.885640,3.979960,1,1920,1080,"characters-4",36.322200,0.204800
23,1.075589,40.402900,40.073000,0.118400,0.114600,0.095300,12.386400,3.409720,1,1920,1080,"characters-4",36.147600,0.146000
24,1.115992,40.852800,40.481400,0.118100,0.113500,0.138500,12.493320,3.669840,1,1920,1080,"characters-4",36.423700,0.145700
25,1.156844,40.653200,40.221800,0.172200,0.123000,0.135000,12.145600,3.249960,1,1920,1080,"characters-4",36.239800,0.151900
26,1.197498,40.442600,40.021700,0.160000,0.117800,0.141700,12.630080,3.755000,1,1920,1080,"characters-4",36.073900,0.156600
27,1.237941,40.705800,40.318400,0.130400,0.123500,0.131600,12.225620,3.244260,1,1920,1080,"characters-4",36.332700,0.157900
28,1.278646,40.876100,40.474200,0.155300,0.148000,0.097300,12.362360,3.491840,1,1920,1080,"characters-4",36.504700,0.147800
29,1.319522,40.832000,40.468000,0.114800,0.147700,0.100400,12.607760,3.842240,1,1920,1080,"characters-4",36.241200,0.150400
30,1.360354,114.136300,113.759700,0.112500,0.141300,0.121400,12.984080,3.581160,1,1920,1080,"characters-4",36.548800,0.135500
31,1.474492,41.654100,41.370500,0.022700,0.115200,0.143200,12.477200,3.411360,1,1920,1080,"characters-4",37.333100,0.138800
32,1.516144,41.882400,41.605700,0.022400,0.107300,0.145700,12.061450,3.320580,1,1920,1080,"characters-4",37.527400,0.164100
33,1.558027,42.232500,41.684900,0.171400,0.215500,0.158900,11.773120,3.036720,1,1920,1080,"characters-4",37.200900,0.176600
34,1.600263,40.834900,40.477200,0.140300,0.118000,0.094700,12.259050,3.352250,1,1920,1080,"characters-4",36.497300,0.156400
35,1.641094,40.849000,40.474100,0.116100,0.124000,0.133700,12.309640,3.519960,1,1920,1080,"characters-4",36.532600,0.148600
36,1.681944,40.793900,40.452300,0.106300,0.114100,0.119400,13.679720,4.153970,1,1920,1080,"characters-4",36.593400,0.134600
37,1.722737,41.205200,40.614000,0.372100,0.117700,0.100000,12.506280,3.599240,1,1920,1080,"characters-4",36.780400,0.138300
38,1.763942,40.737900,40.294100,0.191700,0.114600,0.136000,12.253880,3.506080,1,1920,1080,"characters-4",36.296100,0.124600
39,1.804680,41.430700,40.938100,0.237300,0.153000,0.100700,12.337240,3.310440,1,1920,1080,"characters-4",36.509700,0.155100
