frame,elapsed_seconds,interval_ms,cpu_active_ms,fence_ms,acquire_ms,present_ms,gpu_frame_ms,gpu_shadow_ms,submitted,width,height,action,character_deformation_ms,character_upload_ms
0,0.000000,31.869300,31.869300,0.000000,0.000000,0.000000,,,0,1920,1080,"characters-1",0.000000,0.000000
1,0.031870,37.694600,3.096100,0.006600,0.246300,34.345300,11.468610,3.434730,1,1920,1080,"characters-1",0.257400,0.023900
2,0.069565,22.038300,20.809900,0.008800,0.256800,0.962200,11.290920,2.453280,1,1920,1080,"characters-1",0.276800,0.036400
3,0.091603,15.944700,1.049800,0.016800,14.728700,0.148900,9.962880,1.919120,1,1920,1080,"characters-1",0.291200,0.040700
4,0.107547,16.727400,0.936400,0.009200,15.650900,0.130600,9.971440,1.925760,1,1920,1080,"characters-1",0.296800,0.035500
5,0.124275,16.847100,1.084600,0.008900,15.626200,0.126800,10.301760,1.933480,1,1920,1080,"characters-1",0.264300,0.040800
6,0.141122,16.778900,1.198900,0.011100,15.326300,0.242200,10.069760,1.958360,1,1920,1080,"characters-1",0.439000,0.038700
7,0.157901,16.279100,1.327600,0.012400,14.860400,0.077700,10.135040,1.957880,1,1920,1080,"characters-1",0.531900,0.052900
8,0.174180,16.306900,0.749800,0.008200,15.459000,0.089400,10.203240,1.957960,1,1920,1080,"characters-1",0.277400,0.040900
9,0.190487,16.794600,0.807700,0.009300,15.886600,0.090700,9.922400,1.915520,1,1920,1080,"characters-1",0.377300,0.044900
10,0.207281,16.905200,0.652000,0.007500,16.170100,0.075300,9.888040,1.901480,1,1920,1080,"characters-1",0.264600,0.038000
11,0.224186,16.289900,0.667300,0.005900,15.524700,0.091700,9.878000,1.907440,1,1920,1080,"characters-1",0.265000,0.045800
12,0.240476,16.968900,0.778000,0.011100,16.061900,0.117600,10.020800,2.053520,1,1920,1080,"characters-1",0.254700,0.036700
13,0.257445,16.932100,1.239400,0.011300,15.551000,0.129800,9.891160,1.910240,1,1920,1080,"characters-1",0.441000,0.029700
14,0.274377,16.150300,1.079300,0.008000,14.934000,0.128500,9.861480,1.881560,1,1920,1080,"characters-1",0.440600,0.037700
15,0.290528,16.871100,1.187900,0.008100,15.532900,0.141700,9.861640,1.896920,1,1920,1080,"characters-1",0.421400,0.027400
16,0.307399,16.762800,1.083600,0.009800,15.597500,0.071500,9.901520,1.887880,1,1920,1080,"characters-1",0.460700,0.034200
17,0.324161,17.036900,1.099100,0.007900,15.799900,0.129700,9.891960,1.923840,1,1920,1080,"characters-1",0.267800,0.034700
18,0.341198,16.299200,0.912300,0.010000,15.306600,0.070100,9.927840,1.893200,1,1920,1080,"characters-1",0.255200,0.033000
19,0.357498,16.616300,0.896300,0.009000,15.620800,0.089400,10.010160,1.920320,1,1920,1080,"characters-1",0.255400,0.038500
20,0.374114,79.163400,79.162700,0.000000,0.000000,0.000000,,,0,1920,1080,"characters-1",0.000000,0.000000
21,0.453277,32.052500,0.719400,0.006000,0.103800,31.222900,10.479280,2.432480,1,1920,1080,"characters-1",0.240700,0.020500
22,0.485330,5.742500,1.128600,0.007500,3.602900,1.003000,10.763530,2.581420,1,1920,1080,"characters-1",0.256500,0.034000
23,0.491072,32.523800,0.711600,0.015600,31.715800,0.080400,9.885240,1.900760,1,1920,1080,"characters-1",0.280200,0.036900
24,0.523596,17.008600,0.772600,0.007800,16.130800,0.096900,9.943240,1.919760,1,1920,1080,"characters-1",0.260200,0.039800
25,0.540605,16.815100,0.885800,0.008800,15.810600,0.109600,10.071000,1.896680,1,1920,1080,"characters-1",0.265900,0.039200
26,0.557420,16.737700,0.857900,0.007600,15.751400,0.120500,9.998720,1.936160,1,1920,1080,"characters-1",0.259500,0.039800
27,0.574158,16.546900,0.989600,0.010700,15.473200,0.072700,9.938280,1.907080,1,1920,1080,"characters-1",0.353900,0.040800
28,0.590704,16.444200,0.752800,0.006000,15.568700,0.116500,10.161840,2.088320,1,1920,1080,"characters-1",0.271700,0.050100
29,0.607149,16.860100,0.861700,0.007500,15.847300,0.143300,9.937080,1.905880,1,1920,1080,"characters-1",0.241600,0.026800
30,0.624009,69.328700,53.838900,0.007200,15.358700,0.123400,10.943930,2.287290,1,1920,1080,"characters-1",0.470000,0.043000
31,0.693338,0.928900,0.702000,0.011900,0.127800,0.086600,10.137590,2.067760,1,1920,1080,"characters-1",0.255600,0.029500
32,0.694266,12.475200,0.599200,0.006700,11.796400,0.072600,9.907160,1.924520,1,1920,1080,"characters-1",0.233500,0.022500
33,0.706742,17.171800,0.829000,0.009700,16.264300,0.068500,9.890080,1.917400,1,1920,1080,"characters-1",0.270400,0.032800
34,0.723913,16.903800,1.007800,0.009300,15.803900,0.082500,9.905440,1.914920,1,1920,1080,"characters-1",0.266900,0.042400
35,0.740817,16.339900,0.714700,0.008500,15.538700,0.077700,9.856320,1.912680,1,1920,1080,"characters-1",0.280400,0.044600
36,0.757157,17.230900,0.720300,0.009400,16.428200,0.072400,9.913640,1.930520,1,1920,1080,"characters-1",0.278400,0.045800
37,0.774388,16.499600,1.032800,0.013700,15.358600,0.094200,9.876320,1.899720,1,1920,1080,"characters-1",0.272800,0.038000
38,0.790887,16.324500,0.700600,0.009700,15.543400,0.070500,9.872360,1.905680,1,1920,1080,"characters-1",0.269300,0.037900
39,0.807212,17.258100,0.712800,0.011200,16.462100,0.071400,9.857480,1.892680,1,1920,1080,"characters-1",0.260000,0.030700
