frame,elapsed_seconds,interval_ms,cpu_active_ms,fence_ms,acquire_ms,present_ms,gpu_frame_ms,gpu_shadow_ms,submitted,width,height,action,character_deformation_ms,character_upload_ms,route_decision_ms,actor_physics_ms,character_pose_ms,world_player_doors_ms,character_audio_ms
0,0.000000,26.258200,26.258200,0.000000,0.000000,0.000000,,,0,1920,1080,"scripted-1",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.069500
1,0.026260,48.462200,13.378600,0.019200,0.124700,34.938100,10.581000,2.309200,1,1920,1080,"scripted-1",9.412900,0.019600,0.014500,0.022800,0.269300,0.190800,0.026100
2,0.074722,25.645300,17.254300,0.022900,8.143900,0.223000,12.132680,2.275600,1,1920,1080,"scripted-1",11.123500,0.026900,0.017300,0.262700,0.849900,0.204800,0.027700
3,0.100367,32.290700,14.076700,0.166200,17.837700,0.208900,10.607760,1.958880,1,1920,1080,"scripted-1",9.190300,0.035800,0.016900,0.164100,0.566400,0.222800,0.048500
4,0.132659,15.596000,13.124600,0.133200,2.139200,0.196400,10.683520,1.994320,1,1920,1080,"scripted-1",9.308400,0.023200,0.014700,0.123600,0.417700,0.192400,0.036700
5,0.148254,17.289000,13.433300,0.177800,3.489200,0.186900,10.846240,2.026240,1,1920,1080,"scripted-1",9.199000,0.024600,0.013100,0.112800,0.505300,0.181300,0.034200
6,0.165543,16.026700,13.144800,0.202600,2.488900,0.189000,10.716960,2.049400,1,1920,1080,"scripted-1",9.404000,0.036800,0.012900,0.113400,0.316000,0.190600,0.040500
7,0.181569,17.701800,13.723800,0.162100,3.630100,0.184800,10.405960,2.112400,1,1920,1080,"scripted-1",9.382700,0.050800,0.013400,0.110300,0.305000,0.130100,0.032900
8,0.199271,14.912000,12.175700,0.142600,2.435400,0.156700,10.256160,2.093800,1,1920,1080,"scripted-1",9.106200,0.029400,0.013800,0.106800,0.312400,0.183900,0.046900
9,0.214183,17.444700,12.859300,0.170100,4.250700,0.163400,10.031960,1.954120,1,1920,1080,"scripted-1",9.296000,0.038500,0.014600,0.101100,0.350100,0.145300,0.038700
10,0.231628,17.707800,13.531700,0.128000,3.877500,0.168800,10.043200,1.962120,1,1920,1080,"scripted-1",8.999600,0.046500,0.011800,0.100100,0.299300,0.154100,0.041400
11,0.249336,16.516100,14.132700,0.133900,1.880500,0.367400,10.064600,1.986040,1,1920,1080,"scripted-1",9.723500,0.025000,0.016800,0.110600,0.423600,0.172600,0.044300
12,0.265854,16.216900,13.479800,0.140600,2.285100,0.308300,10.222800,2.199480,1,1920,1080,"scripted-1",9.274400,0.032900,0.009000,0.121600,0.335100,0.209300,0.042700
13,0.282071,17.679800,16.922600,0.205800,0.211200,0.337100,10.286160,2.233640,1,1920,1080,"scripted-1",13.717800,0.058600,0.014300,0.157400,0.425700,0.248700,0.043300
14,0.299748,14.808000,12.853700,0.256400,1.533500,0.163100,10.013160,1.994800,1,1920,1080,"scripted-1",9.575600,0.034600,0.008500,0.086500,0.461700,0.119100,0.056200
15,0.314557,17.535400,13.095000,0.163400,4.089300,0.186100,10.064160,2.009880,1,1920,1080,"scripted-1",9.207800,0.045300,0.010300,0.097500,0.271200,0.118100,0.040600
16,0.332092,16.753100,16.183800,0.169500,0.243900,0.154300,9.992560,1.972440,1,1920,1080,"scripted-1",12.446600,0.081600,0.011900,0.132400,0.422600,0.199500,0.041700
17,0.348845,16.878900,13.523100,0.120800,3.023000,0.211000,9.957640,1.934840,1,1920,1080,"scripted-1",9.317400,0.043000,0.012300,0.110000,0.368800,0.162500,0.033500
18,0.365725,17.265400,16.845300,0.171100,0.104300,0.142500,10.126080,2.085080,1,1920,1080,"scripted-1",13.802100,0.038400,0.013800,0.119500,0.422600,0.178200,0.045200
19,0.382989,15.384500,12.845600,0.138100,2.223500,0.176400,9.996080,1.935040,1,1920,1080,"scripted-1",9.179800,0.024500,0.008400,0.080600,0.275100,0.103100,0.036700
20,0.398374,96.883400,96.881900,0.000000,0.000000,0.000000,,,0,1920,1080,"scripted-1",0.000000,0.000000,0.015000,0.108900,0.417500,0.182100,0.038600
21,0.495259,64.597700,15.119900,0.022000,0.128800,49.324000,13.405920,2.774400,1,1920,1080,"scripted-1",9.844700,0.037900,0.026300,0.403100,1.589300,0.451100,0.027200
22,0.559855,22.372900,13.672200,0.020800,7.154300,1.523800,14.331200,2.549920,1,1920,1080,"scripted-1",9.667800,0.019100,0.021800,0.244300,0.981700,0.266600,0.028100
23,0.582229,33.865100,13.540100,0.170400,19.992400,0.160100,11.269560,2.690560,1,1920,1080,"scripted-1",9.251700,0.041700,0.016000,0.121800,0.311100,0.189900,0.051100
24,0.616092,15.579900,13.475900,0.193900,1.750100,0.159200,10.137480,1.972000,1,1920,1080,"scripted-1",9.197900,0.059600,0.012800,0.150100,0.501900,0.179100,0.035600
25,0.631673,16.327400,12.939200,0.176500,3.046800,0.163200,10.269360,1.977080,1,1920,1080,"scripted-1",9.434200,0.051700,0.014500,0.132600,0.304400,0.164500,0.068200
26,0.648000,17.628900,13.308600,0.203900,3.946600,0.168300,10.270880,1.976600,1,1920,1080,"scripted-1",9.112600,0.035100,0.012200,0.103700,0.289300,0.163400,0.038800
27,0.665629,16.695100,13.245200,0.139900,3.058200,0.250900,10.682960,2.199000,1,1920,1080,"scripted-1",9.103600,0.028600,0.010600,0.105600,0.292900,0.157200,0.043600
28,0.682325,15.592400,12.471800,0.197100,2.681100,0.240600,10.412000,1.966280,1,1920,1080,"scripted-1",9.202700,0.037300,0.015000,0.115700,0.304200,0.161800,0.045200
29,0.697917,17.026400,12.978900,0.280800,3.589700,0.175800,10.428880,1.995520,1,1920,1080,"scripted-1",9.248800,0.054600,0.011600,0.116700,0.307900,0.175800,0.218300
30,0.714943,90.926600,87.077700,0.138400,3.503100,0.206000,12.027760,2.727440,1,1920,1080,"scripted-1",9.201700,0.032600,0.016000,0.105100,0.299900,0.161500,0.076400
31,0.805870,14.723900,14.441200,0.024800,0.116700,0.139600,10.666640,2.250320,1,1920,1080,"scripted-1",10.049200,0.028400,0.017900,0.194100,1.625800,0.244200,0.121500
32,0.820593,27.472700,12.549800,0.044100,14.707400,0.170500,10.530960,1.952440,1,1920,1080,"scripted-1",9.660500,0.047200,0.003800,0.010600,0.284300,0.083500,0.036500
33,0.848066,17.092900,12.686900,0.144900,4.090000,0.169900,10.293280,1.972120,1,1920,1080,"scripted-1",9.160200,0.023600,0.004900,0.015600,0.302200,0.145100,0.035800
34,0.865159,16.856600,12.186300,0.155700,4.366800,0.146600,10.046000,1.970240,1,1920,1080,"scripted-1",9.318800,0.029300,0.005300,0.016200,0.317700,0.144100,0.035900
35,0.882015,15.879800,12.441000,0.187900,3.090900,0.159100,10.227440,1.949760,1,1920,1080,"scripted-1",9.336500,0.029400,0.005500,0.016700,0.314900,0.137200,0.043500
36,0.897896,17.258100,12.780400,0.283600,4.021700,0.170600,10.125880,1.947080,1,1920,1080,"scripted-1",9.319800,0.039800,0.005500,0.016500,0.324400,0.144300,0.035200
37,0.915155,17.317700,13.483700,0.152900,3.387300,0.291100,10.418120,2.254240,1,1920,1080,"scripted-1",9.236500,0.057000,0.006800,0.017400,0.310400,0.151800,0.045700
38,0.932474,15.475900,12.787000,0.211900,2.326400,0.147000,10.064680,1.930400,1,1920,1080,"scripted-1",9.100000,0.025200,0.014600,0.023500,0.488200,0.243000,0.086900
39,0.947947,17.353700,13.535100,0.139100,3.495000,0.183000,10.197600,1.960680,1,1920,1080,"scripted-1",9.871400,0.062000,0.004400,0.017500,0.309600,0.149900,0.033100
