frame,elapsed_seconds,interval_ms,cpu_active_ms,fence_ms,acquire_ms,present_ms,gpu_frame_ms,gpu_shadow_ms,submitted,width,height,action,character_deformation_ms,character_upload_ms,route_decision_ms,actor_physics_ms,character_pose_ms,world_player_doors_ms,character_audio_ms
0,0.000000,122.636500,122.636500,0.000000,0.000000,0.000000,,,0,1920,1080,"scripted-4",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043300
1,0.122637,5.723400,2.890400,0.007000,0.272800,2.552400,13.514800,3.981440,1,1920,1080,"scripted-4",0.938700,0.080400,0.011300,0.084800,0.292400,0.132900,0.017500
2,0.128360,4.966000,4.100000,0.013300,0.327100,0.525300,13.151880,3.467760,1,1920,1080,"scripted-4",2.317300,0.182400,0.000000,0.000000,0.000000,0.000000,0.045600
3,0.133326,8.437200,2.085800,5.250800,0.597800,0.502300,13.035520,4.016520,1,1920,1080,"scripted-4",0.978200,0.369000,0.000000,0.000000,0.000000,0.000000,0.018700
4,0.141764,30.640300,2.207500,27.750100,0.347800,0.334200,12.147960,3.331200,1,1920,1080,"scripted-4",1.136000,0.203600,0.005600,0.043000,0.095600,0.055100,0.029700
5,0.172404,16.694600,1.683900,13.402800,1.320400,0.287200,12.502200,3.247560,1,1920,1080,"scripted-4",0.966100,0.111100,0.003600,0.040800,0.095900,0.033200,0.017600
6,0.189098,15.064100,1.707100,12.823100,0.212000,0.321500,12.090440,3.169880,1,1920,1080,"scripted-4",1.033100,0.105700,0.002500,0.024300,0.059600,0.028700,0.022100
7,0.204162,13.670400,2.036300,10.952800,0.316400,0.364500,12.177600,3.325520,1,1920,1080,"scripted-4",1.062100,0.157200,0.002600,0.023800,0.106600,0.028700,0.014600
8,0.217833,14.574700,1.717700,10.886900,0.294000,1.675700,12.369740,3.692550,1,1920,1080,"scripted-4",1.052000,0.147900,0.002900,0.023500,0.047500,0.027200,0.014800
9,0.232408,42.768400,2.701000,39.404200,0.232300,0.430100,12.532800,3.485280,1,1920,1080,"scripted-4",1.427500,0.165200,0.006500,0.041600,0.089200,0.043400,0.026800
10,0.275176,13.584700,2.359800,10.426700,0.299700,0.498000,13.325840,4.456200,1,1920,1080,"scripted-4",1.039400,0.158100,0.005800,0.062200,0.130000,0.056000,0.028600
11,0.288761,20.589300,1.952100,18.099100,0.175400,0.362100,12.799960,3.957560,1,1920,1080,"scripted-4",1.085900,0.118000,0.000000,0.000000,0.000000,0.000000,0.051400
12,0.309350,16.274500,1.873900,13.801600,0.164500,0.434100,12.106800,3.241360,1,1920,1080,"scripted-4",0.942000,0.113400,0.003200,0.036100,0.080500,0.029800,0.014600
13,0.325624,17.388500,1.749400,13.562100,1.413300,0.663400,12.586720,3.806360,1,1920,1080,"scripted-4",0.919500,0.055200,0.002700,0.022800,0.046100,0.025400,0.014600
