frame,elapsed_seconds,interval_ms,cpu_active_ms,fence_ms,acquire_ms,present_ms,gpu_frame_ms,gpu_shadow_ms,submitted,width,height,action,character_deformation_ms,character_upload_ms,route_decision_ms,actor_physics_ms,character_pose_ms,world_player_doors_ms,character_audio_ms
0,0.000000,27.393500,27.393500,0.000000,0.000000,0.000000,,,0,1920,1080,"scripted-0",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025100
1,0.027394,36.835900,3.538500,0.005900,0.131100,33.159800,10.845500,3.049020,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000300,0.000200,0.079400,0.013600
2,0.064230,1.952800,1.732500,0.003900,0.070700,0.145100,10.011560,1.863520,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000400,0.000100,0.028600,0.010500
3,0.066183,36.935800,0.549900,0.008800,36.258300,0.118400,9.382200,1.654720,1,1920,1080,"scripted-0",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011200
4,0.103119,16.297700,0.619000,0.008000,15.514000,0.156000,9.489720,1.750440,1,1920,1080,"scripted-0",0.000000,0.000000,0.000900,0.000700,0.000400,0.044400,0.013100
5,0.119416,16.547400,0.346900,0.006300,16.122000,0.071500,9.367920,1.668400,1,1920,1080,"scripted-0",0.000000,0.000000,0.000400,0.000200,0.000100,0.026700,0.013300
6,0.135964,17.243300,0.556100,0.009000,16.558400,0.119300,9.492560,1.758440,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000400,0.000200,0.020300,0.006300
7,0.153207,16.439700,0.818100,0.010400,15.518300,0.092100,9.357760,1.653240,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000800,0.000200,0.037500,0.012400
8,0.169647,16.337200,0.343300,0.006700,15.902900,0.083800,9.573840,1.773760,1,1920,1080,"scripted-0",0.000000,0.000000,0.000100,0.000400,0.000200,0.019200,0.005900
9,0.185984,17.155000,0.583100,0.009000,16.445400,0.116800,9.409840,1.672240,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000500,0.000100,0.021600,0.007300
