clip,time_s,phase,foot_l_x_m,foot_l_y_m,foot_l_z_m,ball_l_x_m,ball_l_y_m,ball_l_z_m,foot_r_x_m,foot_r_y_m,foot_r_z_m,ball_r_x_m,ball_r_y_m,ball_r_z_m,hand_l_x_m,hand_l_y_m,hand_l_z_m,hand_r_x_m,hand_r_y_m,hand_r_z_m
walk,0.000000000,0.000000000,0.089000040,0.103699484,0.266897475,0.089000052,0.089949245,0.439652267,-0.096308280,0.144760049,-0.354383790,-0.089958301,0.017411027,-0.237016072,0.254028411,0.882578930,-0.094765747,-0.309005245,0.971355037,0.243727813
walk,0.004166667,0.003125000,0.089002684,0.103211303,0.262928171,0.089014788,0.088436043,0.435598309,-0.096248152,0.145040630,-0.354463209,-0.089947760,0.017053388,-0.237789102,0.254480501,0.882136107,-0.095601607,-0.308105527,0.971538453,0.245366805
walk,0.008333334,0.006250000,0.089003810,0.102862026,0.258923675,0.089024547,0.087062246,0.431503076,-0.096186823,0.145391234,-0.354508552,-0.089938576,0.016769559,-0.238531401,0.254930952,0.881694166,-0.096437367,-0.307197870,0.971723456,0.247003602
walk,0.012500000,0.009375000,0.089003797,0.102651918,0.254885669,0.089029709,0.085828162,0.427368253,-0.096124087,0.145811773,-0.354519799,-0.089930528,0.016559466,-0.239242933,0.255379766,0.881253110,-0.097273021,-0.306282292,0.971910034,0.248638161
walk,0.016666667,0.012500000,0.089003027,0.102581210,0.250815840,0.089030657,0.084734062,0.423195531,-0.096059743,0.146302149,-0.354496933,-0.089923397,0.016423029,-0.239923667,0.255826941,0.880812937,-0.098108565,-0.305358807,0.972098172,0.250270439
walk,0.020833334,0.015625000,0.089001882,0.102650101,0.246715880,0.089027777,0.083780184,0.418986606,-0.095993586,0.146862259,-0.354439943,-0.089916964,0.016360159,-0.240573573,0.256272477,0.880373647,-0.098943995,-0.304427431,0.972287856,0.251900392
walk,0.025000001,0.018750000,0.089000745,0.102858755,0.242587489,0.089021453,0.082966734,0.414743181,-0.095925415,0.147491991,-0.354348817,-0.089911008,0.016370763,-0.241192627,0.256716376,0.879935242,-0.099779306,-0.303488183,0.972479073,0.253527978
walk,0.029166668,0.021875000,0.088999998,0.103207303,0.238432370,0.089012072,0.082293885,0.410466966,-0.095855028,0.148191230,-0.354223549,-0.089905310,0.016454740,-0.241780807,0.257158637,0.879497721,-0.100614494,-0.302541078,0.972671809,0.255153153
walk,0.033333334,0.025000000,0.089000025,0.103695844,0.234252232,0.089000020,0.081761772,0.406159673,-0.095782223,0.148959851,-0.354064137,-0.089899651,0.016611982,-0.242338094,0.257599260,0.879061084,-0.101449554,-0.301586133,0.972866050,0.256775874
walk,0.037500001,0.028125000,0.088991554,0.103509726,0.230184074,0.089002839,0.079145150,0.401763901,-0.095630200,0.150219700,-0.354199477,-0.089877742,0.016287394,-0.244370886,0.258220280,0.879007333,-0.102007047,-0.300780573,0.972766740,0.257181187
walk,0.041666668,0.031250000,0.088985254,0.103376492,0.226111246,0.089004513,0.076586225,0.397329086,-0.095475679,0.151545234,-0.354301152,-0.089857353,0.016055788,-0.246392310,0.258840952,0.878954355,-0.102564506,-0.299974308,0.972667169,0.257586224
walk,0.045833335,0.034375000,0.088981251,0.103296178,0.222034305,0.089005210,0.074085528,0.392855859,-0.095318472,0.152936278,-0.354369085,-0.089838218,0.015917314,-0.248401893,0.259461278,0.878902150,-0.103121929,-0.299167339,0.972567336,0.257990983
walk,0.050000001,0.037500000,0.088979671,0.103268815,0.217953813,0.089005101,0.071643579,0.388344856,-0.095158387,0.154392650,-0.354403202,-0.089820068,0.015872112,-0.250399166,0.260081256,0.878850717,-0.103679314,-0.298359667,0.972467243,0.258395463
walk,0.054166668,0.040625000,0.088980638,0.103294425,0.213870328,0.089004360,0.069260893,0.383796724,-0.094995237,0.155914163,-0.354403433,-0.089802633,0.015920308,-0.252383655,0.260700887,0.878800057,-0.104236660,-0.297551293,0.972366889,0.258799663
walk,0.058333335,0.043750000,0.088984276,0.103373025,0.209784410,0.089003156,0.066937976,0.379212114,-0.094828837,0.157500624,-0.354369711,-0.089785640,0.016062016,-0.254354885,0.261320170,0.878750169,-0.104793966,-0.296742217,0.972266275,0.259203580
walk,0.062500002,0.046875000,0.088990710,0.103504626,0.205696620,0.089001665,0.064675327,0.374591686,-0.094658999,0.159151834,-0.354301972,-0.089768817,0.016297339,-0.256312381,0.261939105,0.878701054,-0.105351230,-0.295932441,0.972165400,0.259607213
walk,0.066666669,0.050000000,0.089000061,0.103689232,0.201607519,0.089000058,0.062473436,0.369936108,-0.094485542,0.160867586,-0.354200154,-0.089751888,0.016626365,-0.258255667,0.262557692,0.878652711,-0.105908452,-0.295121966,0.972064264,0.260010562
walk,0.070833335,0.053125000,0.088987897,0.103583841,0.197528118,0.088995783,0.059531022,0.365136613,-0.094296061,0.163081793,-0.354602512,-0.089724633,0.016945142,-0.261562410,0.263398122,0.879013188,-0.105982358,-0.294512908,0.971733441,0.259197242
walk,0.075000002,0.056250000,0.088979121,0.103508631,0.193447709,0.088992486,0.056631195,0.360288253,-0.094102967,0.165349221,-0.354973305,-0.089698912,0.017375825,-0.264874719,0.264238324,0.879373737,-0.106055921,-0.293902572,0.971404441,0.258383285
walk,0.079166669,0.059375000,0.088973775,0.103463603,0.189366596,0.088990287,0.053774795,0.355391551,-0.093906086,0.167669710,-0.355312533,-0.089674372,0.017918975,-0.268191445,0.265078299,0.879734358,-0.106129140,-0.293290958,0.971077268,0.257568698
walk,0.083333336,0.062500000,0.088971902,0.103448756,0.185285081,0.088989304,0.050962648,0.350447045,-0.093705241,0.170043097,-0.355620193,-0.089650657,0.018575123,-0.271511426,0.265918045,0.880095048,-0.106202016,-0.292678067,0.970751922,0.256753487
walk,0.087500003,0.065625000,0.088973542,0.103464083,0.181203468,0.088989658,0.048195576,0.345455289,-0.093500263,0.172469214,-0.355896286,-0.089627407,0.019344779,-0.274833488,0.266757563,0.880455808,-0.106274548,-0.292063901,0.970428406,0.255937658
walk,0.091666669,0.068750000,0.088978737,0.103509573,0.177122059,0.088991471,0.045474390,0.340416851,-0.093290981,0.174947887,-0.356140813,-0.089604261,0.020228421,-0.278156447,0.267596852,0.880816637,-0.106346739,-0.291448461,0.970106721,0.255121217
